price,brand,resolution,screen_size,level_1_model,processor_speed,ram,warranty,hdd_exist,ssd_exist,graphic_card_exist,storage
73,1999.0,asus,fhd,15.6,rog,2.8,24.0,1,0,1,1,512.0
74,1099.0,asus,fhd,14.0,zenbook,2.3,16.0,1,0,1,1,512.0
75,499.0,asus,hd,11.6,chromebook,1.1,4.0,1,0,1,1,32.0
76,649.0,lenovo,fhd,13.0,thinkpad,2.3,8.0,1,0,1,1,256.0
77,643.0,lenovo,hd,14.0,thinkpad,2.3,8.0,1,1,0,0,500.0
78,649.0,dell,fhd,12.5,latitude,2.6,8.0,1,0,1,1,512.0
79,1029.0,lenovo,fhd,13.3,thinkpad,2.6,8.0,1,0,1,1,256.0
80,809.0,dell,qhd,14.0,latitude,2.6,8.0,1,0,1,0,256.0
81,849.0,dell,fhd,14.0,latitude,2.4,8.0,1,0,1,0,256.0
82,528.0,lenovo,hd,14.0,thinkpad,2.9,8.0,1,1,0,0,500.0
83,649.0,dell,fhd,13.0,latitude,2.6,8.0,1,0,1,1,128.0
84,459.0,lenovo,hd,12.5,thinkpad,2.1,4.0,1,1,0,0,500.0
85,1269.0,apple,qwxga+,13.0,macbook pro,3.1,16.0,1,0,1,0,256.0
86,528.0,dell,hd,12.5,latitude,2.6,8.0,1,0,1,0,256.0
87,919.0,dell,qhd,14.0,latitude,2.6,8.0,1,1,0,0,500.0
88,574.0,hp,hd,14.0,elitebook,2.3,4.0,1,1,0,0,500.0
89,459.0,lenovo,hd,15.6,thinkpad,2.6,8.0,1,1,0,0,500.0
90,574.0,hp,hd,12.5,elitebook,2.2,4.0,1,0,1,0,256.0
91,1110.0,hp,hd,13.3,elitebook,1.6,8.0,1,0,1,1,512.0
92,620.0,lenovo,fhd,14.0,thinkpad,2.3,8.0,1,0,1,0,240.0
93,719.0,dell,fhd,15.0,inspiron,1.6,8.0,1,0,1,1,256.0
94,569.0,dell,fhd,12.5,latitude,2.6,8.0,1,0,1,1,256.0
95,929.0,lenovo,fhd,14.0,thinkpad,2.6,8.0,1,0,1,1,256.0
96,689.0,lenovo,fhd,14.0,thinkpad,2.6,8.0,1,0,1,0,256.0
97,597.0,lenovo,hd,12.5,thinkpad,2.3,8.0,1,1,0,0,500.0
98,758.0,dell,hd,14.0,latitude,2.6,8.0,1,0,1,0,256.0
99,1299.0,asus,fhd,13.3,zenbook,1.8,16.0,1,0,1,1,512.0
100,597.0,dell,fhd,14.0,latitude,2.1,8.0,1,0,1,0,256.0
101,540.0,lenovo,hd,12.5,thinkpad,2.3,4.0,1,1,0,0,500.0
102,499.0,dell,fhd,14.0,latitude,2.6,8.0,1,0,1,1,256.0
103,439.0,lenovo,hd,14.0,thinkpad,2.9,8.0,1,1,0,0,500.0
104,429.0,fujitsu,hd,14.0,lifebook,2.3,8.0,1,0,1,0,128.0
105,459.0,lenovo,hd,12.5,thinkpad,2.1,4.0,1,0,1,0,128.0
106,849.0,lenovo,fhd,14.0,thinkpad,2.4,8.0,1,0,1,0,256.0
107,586.0,lenovo,hd,14.0,thinkpad,2.3,4.0,1,1,0,0,500.0
108,688.0,lenovo,fhd,15.6,thinkpad,2.4,8.0,1,1,0,0,500.0
109,1529.0,hp,fhd,15.6,zbook,2.7,32.0,1,1,1,1,1536.0
110,599.0,dell,fhd,12.5,latitude,2.6,8.0,1,0,1,1,128.0
111,643.0,lenovo,fhd,14.0,thinkpad,1.6,8.0,1,0,1,0,240.0
112,949.0,hp,fhd+,14.0,elitebook,2.6,8.0,1,0,1,1,256.0
113,1149.0,lenovo,fhd,15.0,thinkpad,1.8,8.0,1,0,1,1,256.0
114,649.0,dell,fhd,14.0,latitude,2.6,8.0,1,0,1,1,256.0
115,450.0,acer,hd,14.0,travelmate p248-m,2.3,8.0,1,0,1,1,480.0
116,370.0,dell,hd,14.0,latitude,1.9,4.0,1,1,0,0,500.0
117,225.0,dell,hd,13.3,latitude,2.5,4.0,1,1,1,1,576.0
118,255.0,dell,hd,13.3,latitude,2.4,4.0,1,1,0,0,500.0
119,285.0,dell,hd,14.0,latitude,2.6,8.0,1,0,1,0,120.0
120,380.0,dell,hd,14.0,latitude,2.5,4.0,1,1,0,0,500.0
121,310.0,dell,hd,15.6,latitude,2.6,4.0,1,1,0,0,320.0
122,330.0,dell,hd,15.6,latitude,2.7,4.0,1,1,0,0,320.0
123,425.0,dell,hd,14.0,latitude,2.3,4.0,1,1,0,1,500.0
124,480.0,hp,hd,13.3,probook,1.7,8.0,1,1,0,0,500.0
125,549.99,lenovo,hd,13.3,thinkpad,2.3,4.0,1,0,1,0,125.0
126,430.0,lenovo,hd+,14.0,thinkpad,3.1,4.0,1,1,0,0,500.0
127,310.0,lenovo,hd+,14.0,thinkpad,2.9,4.0,1,1,0,0,320.0
128,375.0,lenovo,hd,14.0,thinkpad,2.6,8.0,1,0,1,0,120.0
129,840.0,lenovo,fhd,14.0,thinkpad,2.8,8.0,1,0,1,1,256.0
130,300.0,lenovo,hd,12.5,thinkpad,2.6,4.0,1,1,1,0,448.0
131,370.0,lenovo,hd,12.5,thinkpad,2.6,8.0,1,1,0,1,500.0
132,999.0,msi,fhd,17.3,ge72,2.6,16.0,1,1,1,0,1152.0
133,270.0,panasonic,hd,11.6,toughbook,1.8,4.0,1,0,1,1,128.0
134,325.0,lenovo,hd,12.5,thinkpad,1.6,4.0,1,1,0,1,500.0
135,1230.0,apple,wqxga,13.3,macbook pro,2.6,16.0,1,0,1,0,256.0
136,370.0,dell,hd,14.0,latitude,1.9,4.0,1,1,0,0,500.0
137,310.0,dell,hd,15.6,latitude,2.6,4.0,1,1,0,0,320.0
138,330.0,dell,hd,15.6,latitude,2.7,4.0,1,1,0,0,320.0
139,425.0,dell,hd,14.0,latitude,2.3,4.0,1,1,0,0,500.0
140,549.99,lenovo,hd,13.3,thinkpad,2.3,4.0,1,0,1,0,125.0
141,430.0,lenovo,hd,14.0,thinkpad,3.1,4.0,1,1,0,0,500.0
142,300.0,lenovo,hd,12.5,thinkpad,2.6,4.0,1,1,0,0,320.0
143,370.0,lenovo,hd,12.5,thinkpad,2.6,8.0,1,1,0,0,500.0
144,360.0,dell,hd,12.5,latitude,2.0,8.0,1,0,1,0,128.0
145,380.0,dell,hd+,14.0,latitude,2.0,4.0,1,0,0,0,0.0
146,600.0,dell,fhd,14.0,latitude,3.4,8.0,1,0,1,0,256.0
147,650.0,dell,fhd,14.0,latitude,2.4,8.0,1,0,1,0,256.0
148,315.0,dell,hd,14.0,vostro,2.6,4.0,1,1,0,0,500.0
149,400.0,hp,qhd+,13.3,chromebook,1.1,16.0,1,0,0,1,0.0
150,350.0,hp,hd,12.5,elitebook,2.5,4.0,1,1,0,0,500.0
151,650.0,hp,hd,12.5,elitebook,2.5,8.0,1,0,1,1,256.0
152,540.99,hp,fhd,14.0,elitebook,2.6,8.0,1,0,1,1,128.0
153,420.0,hp,fhd,14.0,elitebook,2.6,4.0,1,0,0,1,0.0
154,315.0,hp,hd,14.0,elitebook,2.53,4.0,1,0,0,0,0.0
155,430.0,hp,sxga,15.6,pavilion,2.3,4.0,1,1,0,0,730.0
156,490.0,hp,hd,13.3,probook,2.3,8.0,1,0,1,0,500.0
157,439.0,lenovo,hd,11.6,ideapad,2.8,4.0,1,0,0,0,0.0
158,425.0,lenovo,hd,14.0,thinkpad,2.3,8.0,1,0,1,0,256.0
159,620.0,lenovo,fhd,14.0,thinkpad,2.6,20.0,1,0,1,0,256.0
160,649.0,lenovo,fhd,14.0,thinkpad,2.6,4.0,1,0,1,0,240.0
161,1260.0,lenovo,fhd,14.0,thinkpad,2.6,16.0,1,0,1,1,256.0
